res_id,address,likes,dislikes,bookmarks,price_range,cuisine,review
555833,"22/F, Bartlock Centre, 3 Yiu Wa Street, Causeway Bay",728,16,21033,$101-200,Ramen,829
454887,"18/F, Macau Yat Yuen Centre, 525 Hennessy Road, Causeway Bay",850,7,34055,$201-400,Not Specified,893
38559,"Room R1, 7/F, Island Beverley, 1 Great George Street, Causeway Bay",586,17,12863,$101-200,Sushi/Sashimi,665
532123,"19/F, Macau Yat Yuen Centre, 525 Hennessy Road, Causeway Bay",614,3,16357,$201-400,Seafood,634
511427,"Room 1203, 12/F, Bartlock Centre, 3 Yiu Wa Street, Causeway Bay",865,39,23432,$201-400,Sushi/Sashimi,1008
183611,"2/F, Shining building, 477-481 Jaffe Road, Causeway Bay",1056,15,22548,Above $801,Teppanyaki,1114
188950,"17/F, Macau Yat Yuen Centre, 525 Hennessy Road, Causeway Bay",678,35,26242,$201-400,Robatayaki,774
591926,"7/F, Cubus, 1 Hoi Ping Road, Causeway Bay",468,3,9477,Above $801,Sushi/Sashimi,490
487196,"G/F, Hotel Pennington by Rhombus, 13 Pennington Street, Causeway Bay",566,15,23801,$201-400,Sushi/Sashimi,634
574127,"Shop B, G/F, Tang Fai Building , 36-48 Tang Lung Street, Causeway Bay",533,27,30044,$101-200,Steak House,669
566001,"21/F, Macau Yat Yuen Centre, 525 Hennessy Road, Causeway Bay",359,4,12229,$201-400,Ramen,391
473159,"G/F, 14 Haven Street, Causeway Bay",408,6,26546,$51-100,Dessert,559
460408,"Shop A, G/F, 51 Wellington Street, Central",711,55,27149,$401-800,Sushi/Sashimi,841
530978,"G/F, Wai Cheong Building, 5-9A Gresson Street, Wan Chai",358,10,8064,$51-100,Ramen,398
629591,"12/F, Macau Yat Yuen Centre, 525 Hennessy Road, Causeway Bay",317,2,9295,$201-400,Teppanyaki,329
535965,"i.t blue block, 6/F, Hysan Place, 500 Hennessy Road, Causeway Bay",429,41,37739,$51-100,Dessert,734
575752,"7/F, Circle Plaza, 499 Hennessy Road, Causeway Bay",312,0,9118,$201-400,Izakaya,322
640227,"G/F, 530 Jaffe Road, Causeway Bay",282,3,7443,$101-200,Ramen,318
632259,"Shop 3, G/F, V Point, 18 Tang Lung Street, Causeway Bay",292,5,6269,$201-400,Sushi/Sashimi,317
576123,"B/F, Circle Plaza, 499 Hennessy Road, Causeway Bay",460,5,18236,$101-200,Sushi/Sashimi,513
576312,"Shop 203-205, 2/F, Lee Garden Three, 1 Sunning Road, Causeway Bay",307,17,26676,$101-200,Dessert,491
536937,"ShopA, 16/F, Lee Theatre Plaza, 99 Percival Street, Causeway Bay",379,7,24558,$101-200,Seafood,460
524870,"G/F, 501 Lockhart Road, Causeway Bay",505,32,21320,$101-200,Sushi/Sashimi,649
624001,"22/F, Circle Tower, 28 Tang Lung Street, Causeway Bay",274,2,5882,$201-400,Izakaya,285
18517,"26/F, Macau Yat Yuen Centre, 525 Hennessy Road, Causeway Bay",373,14,14609,$201-400,Skewer,441
189381,"G/F, 24 Swatow Street, Wan Chai",288,17,24145,$51-100,Curry,429
609417,"Basement, Yuen Yick Building, 27-29 Wellington Street, Central",257,14,15683,$51-100,Ramen,373
468218,"11/F, Causeway Bay Plaza 2, 463-483 Lockhart Road, Causeway Bay",583,12,44407,$201-400,All-you-can-eat,701
665541,"Shop B, G/F, United Success Commercial Centre, 506-508 Jaffe Road, Causeway Bay",245,1,7869,$101-200,Sushi/Sashimi,272
143976,"Shop 1A-1B, G/F, Leishun Court, 106-126 Leighton Road, Causeway Bay",639,14,40568,Below $50,Dessert,890
641332,"30/F, V Point, 18 Tang Lung Street, Causeway Bay",241,1,17555,$201-400,Wine,296
488373,"Shop 3A, G/F, Dragon View House, 6-16 Hoi Tai Street, Quarry Bay",289,11,10149,$51-100,Udon,389
603439,"G/F, 2 Queen Victoria Street, Central",281,7,12520,$51-100,Taiwan,334
551993,"G/F, Li Yuen Street West, Central",298,1,8543,$51-100,Sushi/Sashimi,323
175101,"6/F, Bartlock Centre, Yiu Wa Street, Causeway Bay",509,18,16287,$201-400,Skewer,577
488893,"1/F, 83 Wan Chai Road, Wan Chai",453,13,19342,$101-200,Sushi/Sashimi,521
545260,"3/F, 477-481 Jaffe Road, Causeway Bay",491,43,27818,$201-400,Roast Meat,618
106726,"Shop 13, G/F, Chung Hing Mansion, 13 Pan Hoi Street, Quarry Bay",266,9,17598,$51-100,Ramen,363
125552,"Shop 3A, G/F, 277 Gloucester Road, Causeway Bay",353,9,8566,$51-100,Ramen,426
633245,"Shop E, G/F, Po Wing Building, 6-16 Shell Street, Fortress Hill, Tin Hau",230,2,2905,$101-200,Ramen,257
491254,"10/F, Zing!, 38 Yiu Wa Street, Causeway Bay",280,11,15465,$401-800,Fine Dining,326
662059,"G/F, 33 Amoy Street, Wan Chai",169,0,1752,$51-100,Sushi/Sashimi,172
541150,"9/F, Causeway Bay Plaza 1, 489 Hannessy Road, Causeway Bay",350,19,32793,$201-400,All-you-can-eat,465
19033,"9/F, Macau Yat Yuen Centre, 525 Hennessy Road, Causeway Bay",277,16,9647,$401-800,Sushi/Sashimi,316
617808,"3/F, The Hennessy, 256 Hennessy Road, Wan Chai",280,17,7365,$401-800,Sushi/Sashimi,320
47826,"8/F, Macau Yat Yuen Centre, 525 Hennessy Road, Causeway Bay",353,12,8796,$101-200,Robatayaki,390
434362,"G/F, 127 Electric Road, Tin Hau",231,10,18295,$51-100,Ramen,346
599377,"G/F, 7 Li Yuen West Street, Central",148,4,12913,$51-100,Wonton/Dumpling,191
501047,"Shop 1301, 13/F, Hysan Place, 500 Hennessy Road, Causeway Bay",191,10,17585,$101-200,Shanghai,304
617309,"G/F, 39 Hollywood Road, Central",242,1,4907,$101-200,Ramen,275
543605,"3/F, 118 Queen's Road Central, Central",181,2,10597,$201-400,Yoshoku,217
571343,"Shop 7, G/F, 7 Sharp Street East, Causeway Bay",190,4,6738,$51-100,Ramen,236
490191,"3/F, Richmond Plaza, 496 Jaffe Road, Causeway Bay",423,50,25006,$201-400,Seafood,584
611576,"Shop D, G/F, 126-128 Jervois Street, Sheung Wan",203,4,6070,Above $801,Sushi/Sashimi,219
623001,"Shop 1A, G/F, DIVA, 1 Gordon Road, Tin Hau",144,1,6763,$101-200,Coffee Shop,171
574936,"10/F, Kyoto Plaza, 491-499 Lockhart Road, Causeway Bay",280,56,32503,$401-800,Sushi/Sashimi,451
50122,"8/F, Cubus, 1 Hoi Ping Road, Causeway Bay",241,7,11046,$401-800,Teppanyaki,262
551177,"G/F, 7 Gough Street, Central",141,4,13868,$101-200,Ramen,210
551044,"B/F, Macau Yat Yuen Centre, 525 Hennessy Road, Causeway Bay",171,3,12391,$201-400,Seafood,192
545344,"6/F, California Tower, 30-32 D'Aguilar Street, Central",202,6,24271,$401-800,Sushi/Sashimi,244
496154,"6/F, Cubus, 1 Hoi Ping Road, Causeway Bay",175,5,5967,$401-800,Hot Pot,188
480465,"2/F, 100 Queen's Road East, Wan Chai",161,1,21021,$201-400,Skewer,212
585504,"Shop D-F, G/F, 2-12 Moon Street, Wan Chai",220,3,5116,Above $801,Robatayaki,233
140523,"Shop F-I, G/F, Lockhart House, Block A, 440 Jaffe Road, Causeway Bay",458,58,31728,$51-100,Ramen,826
516318,"G/F, 18-20 Lyndhurst Terrace, Central",91,6,21278,$201-400,Izakaya,131
497105,"Shop 202, 2/F, AEON, Kornhill Plaza South, 1-2 Kornhill Road, Tai Koo",189,5,1451,$51-100,Cake,218
111602,"G/F, 3 Caroline Hill Road, Causeway Bay",312,13,12609,$51-100,Ramen,405
444018,"Shop B13-16, B/F, Landmark Atrium, 15 Queen's Road Central, Central",148,8,17089,$101-200,Shanghai,255
673614,"Shop B, G/F, Midtown Soundwill Plaza II, 1 Tang Lung Street, Causeway Bay",118,3,5020,$101-200,Teppanyaki,130
627926,"Shop G01, G/F, Bartlock Centre, 3 Yiu Wa Street, Causeway Bay",147,2,8918,$51-100,Sushi/Sashimi,182
563306,"3/F, Ying Kong Mansion, 2-6 Yee Wo Street, Causeway Bay",188,5,10551,$201-400,Roast Meat,225
478642,"Shop 7, G/F, Eastway Towers, 59-99 Shau Kei Wan Main Street East, Shau Kei Wan",157,4,4323,$51-100,Ramen,201
546407,"G/F, 47 Staunton Street, Soho, Central",121,6,7132,$51-100,Dessert,180
435157,"Unit 1, G/F., Manhattan Avenue, 255 Queen's Road Central, Sheung Wan",73,1,22224,Above $801,Roast Meat,83
568358,"G/F, Antung Building, 6-16 Tai Wong Street East, Wan Chai",167,2,6676,$51-100,Ramen,197
614355,"Shop 1B, G/F, Guardian House, 32 Oi Kwan Road, Wan Chai",83,5,15781,$101-200,Ramen,116
618251,"Shop A, G/F, Seaview Building, 6 Wharf Road, North Point",166,5,2211,$101-200,Ramen,183
125244,"15/F, Henry House, 42 Yun Ping Road, Causeway Bay",226,2,18733,$401-800,Seafood,246
651871,"G/F, 389 Lockhart Road, Wan Chai",96,0,2782,$51-100,Ramen,102
677421,"G/F, Tsing Fung Building, 10 Tsing Fung Street, Tin Hau",108,2,3891,$101-200,Robatayaki,115
591282,"Shop GA10B, G/F, 55 Tai Hong Street, Site A, Soho East, Lei King Wan, Sai Wan Ho",154,2,4831,$201-400,Sushi/Sashimi,169
625799,"Shop 03A, G/F, Tower 535, 535 Jaffe Road, Causeway Bay",124,4,3920,$101-200,Sushi/Sashimi,150
530248,"LG/F, 66 Hollywood Road, Central",67,4,19611,$401-800,Sushi/Sashimi,86
549685,"10/F, Macau Yat Yuen Centre, 525 Hennessy Road, Causeway Bay",198,13,13127,$101-200,Skewer,253
610909,"Shop 5 & Open Space, G/F, The Steps ‧ H Code, 45 Pottinger Street, Central",92,2,10538,$101-200,Ramen,135
519712,"G/F, 11 Hoi Kwong Street, Quarry Bay",144,4,8492,$101-200,Not Specified,166
472133,"Shop C,G/F,Soundwill Plaza 2 - Midtown, 1-29 Tang Lung Street, Causeway Bay",85,6,11124,$401-800,Hot Pot,113
13947,"G/F, Lockhart House, 451-453 Lockhart Road, Causeway Bay",294,31,19437,$101-200,Sushi/Sashimi,458
552576,"Sai Wan Ho Ferry Pier, Tai Hong Street, Lei King Wan, Sai Wan Ho",162,2,6026,$401-800,Skewer,177
534326,"G/F, 22 D'Aguilar Street, Central",196,8,5437,$51-100,Ramen,253
560767,"2/F, Jardine Center, 50 Jardine's Bazaar, Causeway Bay",128,4,8967,$401-800,Roast Meat,156
